time,a,b,C,t,a_after,b_after
201,182.8,35.91,,201,182.8,35.91
202,178.8,35.63,,202,178.8,35.63
203,176.3,35.5,,203,176.3,35.5
204,175.7,35.48,,204,175.7,35.48
205,176,35,,205,176,35
206,176,35,,206,176,35
207,171.3,35.08,,207,171.3,35.08
208,170.9,35,,208,170.9,35
209,171,35,,209,171,35
210,170.7,35,,210,170.7,35
211,170,35,,211,170,35
212,170.8,35,,212,170.8,35
213,171.1,35,,213,171.1,35
214,171,35,,214,171,35
215,171,35,,215,171,35
216,170.1,34.98,,216,170.1,34.98
217,169.5,35,,217,169.5,35
218,170,35,,218,170,35
219,170,35,,219,170,35
220,170.2,35,,220,170.2,35
221,169.7,35,,221,169.7,35
222,169.6,35,,222,169.6,35
223,169.3,35,,223,169.3,35
224,169,35,,224,169,35
225,169,35,,225,169,35
226,170.1,35,,226,170.1,35
227,170,35,,227,170,35
228,169.8,35,,228,169.8,35
229,169.4,35,,229,169.4,35
230,170.2,35,,230,170.2,35
231,169.8,35,,231,169.8,35
232,170,35,,232,170,35
233,170,35,,233,170,35
234,170,35,,234,170,35
235,169,35,,235,169,35
236,169.6,35,,236,169.6,35
237,169.8,35,,237,169.8,35
238,169.4,35,,238,169.4,35
239,169,35,,239,169,35
240,168.3,35,,240,168.3,35
241,168.7,34.98,,241,168.7,34.98
242,169,35,,242,169,35
243,169,35,,243,169,35
244,169,35,,244,169,35
245,168.3,35,,245,168.3,35
246,168.7,35,,246,168.7,35
247,169,35,,247,169,35
248,168,35,,248,168,35
249,169.2,35,,249,169.2,35
250,169.3,35,,250,169.3,35
251,169,35,,251,169,35
252,169,35,,252,169,35
253,169,35,,253,169,35
254,168.3,35,,254,168.3,35
255,167.9,35,,255,167.9,35
256,167.7,35,,256,167.7,35
257,167.8,35,,257,167.8,35
258,167.1,35,,258,167.1,35
259,166.9,35,,259,166.9,35
260,167,35,,260,167,35
261,167,35,,261,167,35
262,167,35,,262,167,35
263,167.6,35,,263,167.6,35
264,167.5,35,,264,167.5,35
265,168,35,,265,168,35
266,168.5,35,,266,168.5,35
267,167.9,35,,267,167.9,35
268,166.8,35,,268,166.8,35
269,167,35,,269,167,35
270,167,35,,270,167,35
271,167,35,,271,167,35
272,167.8,35,,272,167.8,35
273,167.4,35,,273,167.4,35
274,167,35,,274,167,35
275,167,35,,275,167,35
276,167,35,,276,167,35
277,168,35,,277,168,35
278,167.8,35,,278,167.8,35
279,168,35,,279,168,35
280,168,35,,280,168,35
281,166.9,34.98,,281,166.9,34.98
282,167.1,35,,282,167.1,35
283,167,35,,283,167,35
284,167.5,35,,284,167.5,35
285,168.5,35,,285,168.5,35
286,168.3,35,,286,168.3,35
287,168.2,35,,287,168.2,35
288,167.3,35,,288,167.3,35
289,167,35,,289,167,35
290,167,35,,290,167,35
291,168.4,35,,291,168.4,35
